hora;data;meal_label;mean_composition;meal_weight;100g;proportion;energy_cal;energy_kj;protein_g;fat_g;carb_g
12:00;23/03/2024;shake;whey;25;100;0,22;83,6;351,12;16,94;1,1;1,32
12:00;23/03/2024;shake;eggs;1;52;;70,95238095;298;6,1;5,15;0,65
12:00;23/03/2024;shake;ice cream;167;100;1,3;235,2380952;988;2,34;8,32;37,05
12:00;23/03/2024;shake;banana;150;100;1,5;133,5;560,7;1,875;0;37,5
12:00;23/03/2024;shake;milk;100;100;1;46,19047619;194;3,4;1,3;5,1
12:00;23/03/2024;shake;oats;70;100;0,7;265;1113;9,17;6,23;39,06
14:00;23/03/2024;LUNCH;rice;180;100;1,8;608,5714286;2556;13,14;1,8;133,2
14:00;23/03/2024;LUNCH;beans;60;100;0,6;34,42857143;144,6;2,88;0,18;3,6
14:00;23/03/2024;LUNCH;tuna;185;100;1,85;308,3333333;1295;48,1;12,58;0,185
14:00;23/03/2024;LUNCH;brocoli;50;100;0,5;17;71,4;1,4;0,2;3,5
14:00;23/03/2024;LUNCH;potato;150;100;1,5;130,5;548,1;2,85;0,15;30,15
18:00;23/03/2024;shake;eggs;1;52;;70,95238095;298;6,1;5,15;0,65
18:00;23/03/2024;shake;ice cream;100;100;1;180,952381;760;1,8;6,4;28,5
18:00;23/03/2024;shake;banana;150;100;1,5;133,5;560,7;1,875;0;37,5
18:00;23/03/2024;shake;milk;100;100;1;46,19047619;194;3,4;1,3;5,1
18:00;23/03/2024;shake;oats;63;100;0,63;238,5;1001,7;8,253;5,607;35,154
22:00;23/03/2024;DINNER;rice;150;100;1,5;507,1428571;2130;10,95;1,5;111
22:00;23/03/2024;DINNER;beans;60;100;0,6;34,42857143;144,6;2,88;0,18;3,6
22:00;23/03/2024;DINNER;mince;135;100;1,35;300,8571429;1263,6;26,865;22,95;0
22:00;23/03/2024;DINNER;brocoli;46;100;0,46;15,64;65,688;1,288;0,184;3,22
22:00;23/03/2024;DINNER;potato;75;100;0,75;65,25;274,05;1,425;0,075;15,075
08:00;24/03/2024;rice+eggs;rice;85;100;0,85;287,3809524;1207;6,205;0,85;62,9
08:00;24/03/2024;rice+eggs;eggs;104;100;1,04;147,5809524;619,84;12,688;10,712;1,352
10:00;24/03/2024;shake;whey;21;100;0,21;79,8;335,16;16,17;1,05;1,26
10:00;24/03/2024;shake;ice cream;200;100;2;361,9047619;1520;3,6;12,8;57
10:00;24/03/2024;shake;milk;100;100;1;46,19047619;194;3,4;1,3;5,1
10:00;24/03/2024;shake;oats;64;100;0,64;242,2857143;1017,6;8,384;5,696;35,712
14:00;24/03/2024;LUNCH;pasta;370;100;3,7;1321,428571;5550;48,1;5,18;261,22
14:00;24/03/2024;LUNCH;mince;200;100;2;445,7142857;1872;39,8;34;0
